source_system,source_flow,role,role_title,page,page_slug,section_count,faq_count,sections,page_url,widget_url,embed_url,api_url
In-clinic,Flow1 / Doctor,doctor,Doctor Support,Doctor Verification Page,in-clinic-flow1-doctor-doctor-verification-page,1,7,In-clinic / Access & Verification,https://help.cpdinclinic.co.in/support/doctor/faq/page/in-clinic-flow1-doctor-doctor-verification-page/?system=In-clinic&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/in-clinic-flow1-doctor-doctor-verification-page/widget/?system=In-clinic&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/in-clinic-flow1-doctor-doctor-verification-page/widget/?system=In-clinic&flow=Flow1+%2F+Doctor&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/in-clinic-flow1-doctor-doctor-verification-page/?system=In-clinic&flow=Flow1+%2F+Doctor
Customer support,General support,doctor,Doctor Support,Sharing & Activation Page,customer-support-sharing-activation-page,1,1,Campaign Operations,https://help.cpdinclinic.co.in/support/doctor/faq/page/customer-support-sharing-activation-page/?system=Customer+support,https://help.cpdinclinic.co.in/support/doctor/faq/page/customer-support-sharing-activation-page/widget/?system=Customer+support,https://help.cpdinclinic.co.in/support/doctor/faq/page/customer-support-sharing-activation-page/widget/?system=Customer+support&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/customer-support-sharing-activation-page/?system=Customer+support
Campaign performance,General support,doctor,Doctor Support,Reports & Insights Page,campaign-performance-reports-insights-page,1,1,Reporting & Analytics,https://help.cpdinclinic.co.in/support/doctor/faq/page/campaign-performance-reports-insights-page/?system=Campaign+performance,https://help.cpdinclinic.co.in/support/doctor/faq/page/campaign-performance-reports-insights-page/widget/?system=Campaign+performance,https://help.cpdinclinic.co.in/support/doctor/faq/page/campaign-performance-reports-insights-page/widget/?system=Campaign+performance&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/campaign-performance-reports-insights-page/?system=Campaign+performance
In-clinic,Flow1 / Doctor,doctor,Doctor Support,Doctor Collateral View Screen,in-clinic-flow1-doctor-doctor-collateral-view-screen,2,10,In-clinic / Content Viewing | In-clinic / Archives & Additional Materials,https://help.cpdinclinic.co.in/support/doctor/faq/page/in-clinic-flow1-doctor-doctor-collateral-view-screen/?system=In-clinic&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/in-clinic-flow1-doctor-doctor-collateral-view-screen/widget/?system=In-clinic&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/in-clinic-flow1-doctor-doctor-collateral-view-screen/widget/?system=In-clinic&flow=Flow1+%2F+Doctor&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/in-clinic-flow1-doctor-doctor-collateral-view-screen/?system=In-clinic&flow=Flow1+%2F+Doctor
Patient Education,Flow1 / Doctor,doctor,Doctor Support,Doctor Credentials Mail Page,patient-education-flow1-doctor-doctor-credentials-mail-page,1,3,Patient Education / Access & Credentials,https://help.cpdinclinic.co.in/support/doctor/faq/page/patient-education-flow1-doctor-doctor-credentials-mail-page/?system=Patient+Education&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/patient-education-flow1-doctor-doctor-credentials-mail-page/widget/?system=Patient+Education&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/patient-education-flow1-doctor-doctor-credentials-mail-page/widget/?system=Patient+Education&flow=Flow1+%2F+Doctor&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/patient-education-flow1-doctor-doctor-credentials-mail-page/?system=Patient+Education&flow=Flow1+%2F+Doctor
Patient Education,Flow1 / Doctor,doctor,Doctor Support,Doctor Login Page,patient-education-flow1-doctor-doctor-login-page,1,3,Patient Education / Login & Account Access,https://help.cpdinclinic.co.in/support/doctor/faq/page/patient-education-flow1-doctor-doctor-login-page/?system=Patient+Education&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/patient-education-flow1-doctor-doctor-login-page/widget/?system=Patient+Education&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/patient-education-flow1-doctor-doctor-login-page/widget/?system=Patient+Education&flow=Flow1+%2F+Doctor&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/patient-education-flow1-doctor-doctor-login-page/?system=Patient+Education&flow=Flow1+%2F+Doctor
Patient Education,Flow1 / Doctor,doctor,Doctor Support,Doctor / Clinic Sharing Page,patient-education-flow1-doctor-doctor-clinic-sharing-page,3,11,Patient Education / Video Selection & Search | Patient Education / Sharing Setup | Patient Education / WhatsApp Message Sharing,https://help.cpdinclinic.co.in/support/doctor/faq/page/patient-education-flow1-doctor-doctor-clinic-sharing-page/?system=Patient+Education&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/patient-education-flow1-doctor-doctor-clinic-sharing-page/widget/?system=Patient+Education&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/patient-education-flow1-doctor-doctor-clinic-sharing-page/widget/?system=Patient+Education&flow=Flow1+%2F+Doctor&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/patient-education-flow1-doctor-doctor-clinic-sharing-page/?system=Patient+Education&flow=Flow1+%2F+Doctor
Red Flag Alert,Flow1 / Doctor,doctor,Doctor Support,Doctor/Clinic Login Screen Page,red-flag-alert-flow1-doctor-doctorclinic-login-screen-page,1,6,Red Flag Alert / Access & Login,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctorclinic-login-screen-page/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctorclinic-login-screen-page/widget/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctorclinic-login-screen-page/widget/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/red-flag-alert-flow1-doctor-doctorclinic-login-screen-page/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor
Red Flag Alert,Flow1 / Doctor,doctor,Doctor Support,Doctor/Clinic Portal Page,red-flag-alert-flow1-doctor-doctorclinic-portal-page,4,31,Red Flag Alert / Sending Forms to Patients | Red Flag Alert / Links & Access | Red Flag Alert / Document Management | Red Flag Alert / Clinic & Staff Management,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctorclinic-portal-page/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctorclinic-portal-page/widget/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctorclinic-portal-page/widget/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/red-flag-alert-flow1-doctor-doctorclinic-portal-page/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor
Red Flag Alert,Flow1 / Doctor,doctor,Doctor Support,Doctor Report Mail Page,red-flag-alert-flow1-doctor-doctor-report-mail-page,2,27,Red Flag Alert / Reports & PDFs | Red Flag Alert / Follow-ups & Reminders,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctor-report-mail-page/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctor-report-mail-page/widget/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctor-report-mail-page/widget/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/red-flag-alert-flow1-doctor-doctor-report-mail-page/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor
